Algoritmo,Num_Drones,Media_Calc_ms,Pico_Calc_ms,Media_CPU_Perc,Pico_RAM_MB,Tempo_Missao_s
Switching (VS -> APF -> VS),8,0.5873,2.2354,1.68,52.28,97.5
Switching (VS -> APF -> VS),8,0.6196,2.0072,1.64,52.25,102.19
