agent,final_x,final_y,dist_to_goal
0,5.43424120468648,5.451366682534712,0.788087261353445
1,5.734797851241591,6.569642754755323,0.6283510545477825
2,6.268484066293708,6.122551638895953,0.29513149281242135
3,1.521745416480754,2.8488939264494975,5.475786117223535
4,3.6487455825146675,1.3973291041188034,5.168459800708148
5,1.3345064379179747,3.4879094605784817,5.298813929180748
