Algoritmo,Num_Drones,Media_Calc_ms,Pico_Calc_ms,Media_CPU_Perc,Pico_RAM_MB,Tempo_Missao_s
Switching (VS -> APF -> VS),8,0.7705,5.157,1.91,52.51,118.01
Switching (VS -> APF -> VS),8,0.7576,4.6109,1.68,52.49,121.62
