Tempo_s,Drone_ID,Pos_N_Metros,Pos_E_Metros,Distancia_Percorrida_Acumulada_m,Distancia_Minima_Obstaculo_Instante_m
5.7220458984375e-06,0,-0.07313612519710411,-0.1384782102077999,0.0,20.073613778176448
5.7220458984375e-06,1,-3.0086821891863735,2.894825099699796,0.0,23.190072626898655
5.7220458984375e-06,2,-3.042040667170176,-3.134147484102022,0.0,23.254215070813018
5.7220458984375e-06,3,-5.977586730452122,5.845333530282212,0.0,26.00323570239775
5.7220458984375e-06,4,-5.81079434053311,-5.97928061358366,0.0,25.830969253109767
5.7220458984375e-06,5,-8.157007293239428,8.231331419227665,0.0,28.183918052242408
5.7220458984375e-06,6,-7.790064034710276,-8.621189948162172,0.0,27.837311578191592
5.7220458984375e-06,7,-9.335673515098009,-10.939446572139914,0.0,29.599003021709493
0.36721229553222656,0,-0.05089713963879472,-0.1535318248046646,0.02685486531512737,20.05148493567504
0.36721229553222656,1,-3.0198016816118667,2.9023519068785313,0.013427432297593654,23.202045514395966
0.36721229553222656,2,-3.042040667170176,-3.141674291280758,0.007526807178735773,23.255230711820918
0.36721229553222656,3,-6.022064700861418,5.867913951938116,0.04988151254611854,26.046678677252388
0.36721229553222656,4,-5.899750282059024,-6.001861035239563,0.0917770939555198,25.91897656285814
0.36721229553222656,5,-8.357158161142241,8.359287141984346,0.2375563867978172,28.38971786598803
0.36721229553222656,6,-8.056931858580697,-8.741618863620422,0.29278244328474423,28.11093491122554
0.36721229553222656,7,-9.824931192429553,-11.157723981520208,0.5357407043277835,30.113339059952576
0.6901407241821289,0,-0.03977764792062466,-0.14600501738653515,0.04028229716116781,20.040309519645675
0.6901407241821289,1,-3.0086821891863735,2.9098787141769633,0.026854864662283824,23.19195658443251
0.6901407241821289,2,-3.0198016816118667,-3.134147484102022,0.031004995034031632,23.232179189926278
0.6901407241821289,3,-6.033184193994234,5.898021180772753,0.0819765021181994,26.056497013153106
0.6901407241821289,4,-5.955347744893813,-6.001861035239563,0.14737455679030864,25.974532872630018
0.6901407241821289,5,-8.479472579944636,8.487242864741027,0.41456905310492725,28.51827922176479
0.6901407241821289,6,-8.25708272648351,-8.824413743065298,0.5093819861848644,28.315917956464315
0.6901407241821289,7,-10.21411343580969,-11.33836735476743,0.9648034583166742,30.523991908282365
1.0436148643493652,0,0.026939308046980415,-0.1384782102077999,0.1074224866149459,19.97354073816511
1.0436148643493652,1,-2.9530847249369385,2.9324591358328664,0.08686280974562743,23.139650277682744
1.0436148643493652,2,-2.9530847249369385,-3.1190938696248547,0.09939917327159381,23.16404206863873
1.0436148643493652,3,-5.966467238026629,5.920601602428657,0.1524110650524702,25.98889227582026
1.0436148643493652,4,-5.921989267617334,-5.9868074208820925,0.1839723615254132,25.941782644853994
1.0436148643493652,5,-8.490592073077451,8.577564551364638,0.5055726255736193,28.534234641711105
1.0436148643493652,6,-8.301560696892807,-8.854520971899936,0.5630917160280827,28.36225636149431
1.0436148643493652,7,-10.425383796138,-11.466323077524114,1.2118010942151574,30.751455591160582
1.4489390850067139,0,0.1714927131150068,-0.13095140314876177,0.2521717171526759,19.828939696716965
1.4489390850067139,1,-2.797411828858065,2.9475127501903367,0.24326185666985628,22.987166365324203
1.4489390850067139,2,-2.797411828858065,-3.1040402552673845,0.25579822019582266,23.00776069070778
1.4489390850067139,3,-5.821913832958603,5.9431820240845585,0.2987174639519006,25.843531071255665
1.4489390850067139,4,-5.788555355682123,-5.97928061358366,0.31761839282616366,25.808747652663957
1.4489390850067139,5,-8.41275562397703,8.660359430809516,0.6192102288167982,28.46122758398373
1.4489390850067139,6,-8.25708272648351,-8.877101393555838,0.6129732285742017,28.31936146619521
1.4489390850067139,7,-10.514339737663914,-11.571698378744589,1.349703645460838,30.85490812969293
1.7989742755889893,0,0.42724104455993395,-0.13095140314876177,0.507920048597603,19.573197015248837
1.7989742755889893,1,-2.5639024822641243,2.9550395574887687,0.4768924791807697,22.756580455232037
1.7989742755889893,2,-2.541663497413138,-3.0814598336114813,0.5125414469400207,22.751307389615413
1.7989742755889893,3,-5.543926516662689,5.965762445860159,0.5776203564951086,25.564855352750513
1.7989742755889893,4,-5.532807023529873,-5.971753806404925,0.5734774599411744,25.553503179318863
1.7989742755889893,5,-8.190365770515907,8.743154310254392,0.8565122283548375,28.24420841915796
1.7989742755889893,6,-8.101409828989992,-8.892155008033006,0.7693722769180287,28.165040119823722
1.7989742755889893,7,-10.50322024523842,-11.677073679725671,1.4556640020507168,30.85970614790597
2.1249938011169434,0,0.7830648092489456,-0.13095140314876177,0.8637438132866146,19.217381361556857
2.1249938011169434,1,-2.2191982092932827,2.9625663646675044,0.8216789183437135,22.415832987621073
2.1249938011169434,2,-2.174720238883987,-3.0588794119555787,0.8801788095980477,22.384703726644602
2.1249938011169434,3,-5.199222243691848,5.980816060217629,0.9226531768319279,25.219824297367428
2.1249938011169434,4,-5.165863766415368,-5.971753806404925,0.9404207170556792,25.18686144291148
2.1249938011169434,5,-7.923497946645486,8.795841960744932,1.1285313893188171,27.981186285150365
2.1249938011169434,6,-7.834542005119571,-8.892155008033006,1.036240100788449,27.89878096278026
2.1249938011169434,7,-10.325308362186592,-11.782448980826452,1.662440674364418,30.70010008967254
2.5820558071136475,0,1.238964009304011,-0.1535318248046646,1.3202018683727386,18.761664197650965
2.5820558071136475,1,-1.7521795175200472,2.9550395574887687,1.2887582598820546,21.951983339751834
2.5820558071136475,2,-1.729940532669061,-3.043825797478411,1.3252131884604714,21.9420872078918
2.5820558071136475,3,-4.721084058785796,5.995869674694798,1.4010282756551014,24.741468726649003
2.5820558071136475,4,-4.709964566360303,-5.971753806404925,1.3963199171107448,24.731349318333287
2.5820558071136475,5,-7.578793674381967,8.825949189818964,1.4745479793246117,27.639174209406676
2.5820558071136475,6,-7.500957225281546,-8.892155008033006,1.3698248806264743,27.565973570349183
2.5820558071136475,7,-10.091799016299973,-11.820083016959522,1.898963263755076,30.47539283303455
2.9220540523529053,0,1.7615801639120354,-0.16858543904243797,1.8430347827525604,18.239198972752725
2.9220540523529053,1,-1.2295633629120228,2.9475127501903367,1.8114286128631532,21.4332030269027
2.9220540523529053,2,-1.2184438697792066,-3.0287721830012435,1.8369313212799803,21.433520970468035
2.9220540523529053,3,-4.231826382161574,6.0109232891719655,1.89051748436614,24.252003681245064
2.9220540523529053,4,-4.220706889736081,-5.97928061358366,1.8856354870265584,24.242205145248544
2.9220540523529053,5,-7.145133459885211,8.848529611474868,1.908795670256332,27.208001254768405
